Location,Admin Level,P-Code,Name,Parent P-Code,Valid from date
AFG,1,AF01,Kabul,AFG,2021-11-17
AFG,1,AF02,Kapisa,AFG,2021-11-17
AFG,1,AF03,Parwan,AFG,2021-11-17
AFG,1,AF04,Maidan Wardak,AFG,2021-11-17
AFG,1,AF05,Logar,AFG,2021-11-17
AFG,1,AF06,Nangarhar,AFG,2021-11-17
AFG,1,AF07,Laghman,AFG,2021-11-17
AFG,1,AF08,Panjsher,AFG,2021-11-17
AFG,1,AF09,Baghlan,AFG,2021-11-17
AFG,1,AF10,Bamyan,AFG,2021-11-17
AFG,1,AF11,Ghazni,AFG,2021-11-17
AFG,1,AF12,Paktika,AFG,2021-11-17
AFG,1,AF13,Paktya,AFG,2021-11-17
AFG,1,AF14,Khost,AFG,2021-11-17
AFG,1,AF15,Kunar,AFG,2021-11-17
AFG,1,AF16,Nuristan,AFG,2021-11-17
AFG,1,AF17,Badakhshan,AFG,2021-11-17
AFG,1,AF18,Takhar,AFG,2021-11-17
AFG,1,AF19,Kunduz,AFG,2021-11-17
AFG,1,AF20,Samangan,AFG,2021-11-17
AFG,1,AF21,Balkh,AFG,2021-11-17
AFG,1,AF22,Sar-e-Pul,AFG,2021-11-17
AFG,1,AF23,Ghor,AFG,2021-11-17
AFG,1,AF24,Daykundi,AFG,2021-11-17
AFG,1,AF25,Uruzgan,AFG,2021-11-17
AFG,1,AF26,Zabul,AFG,2021-11-17
AFG,1,AF27,Kandahar,AFG,2021-11-17
AFG,1,AF28,Jawzjan,AFG,2021-11-17
AFG,1,AF29,Faryab,AFG,2021-11-17
AFG,1,AF30,Hilmand,AFG,2021-11-17
AFG,1,AF31,Badghis,AFG,2021-11-17
AFG,1,AF32,Hirat,AFG,2021-11-17
AFG,1,AF33,Farah,AFG,2021-11-17
AFG,1,AF34,Nimroz,AFG,2021-11-17
AFG,2,AF0101,Kabul,AF01,2021-11-17
AFG,2,AF0102,Paghman,AF01,2021-11-17
AFG,2,AF0103,Chahar Asyab,AF01,2021-11-17
AFG,2,AF0104,Bagrami,AF01,2021-11-17
AFG,2,AF0105,Deh Sabz,AF01,2021-11-17
AFG,2,AF0106,Shakar Dara,AF01,2021-11-17
AFG,2,AF0107,Musahi,AF01,2021-11-17
AFG,2,AF0108,Mir Bacha Kot,AF01,2021-11-17
AFG,2,AF0109,Khak-e-Jabbar,AF01,2021-11-17
AFG,2,AF0110,Kalakan,AF01,2021-11-17
AFG,2,AF0111,Guldara,AF01,2021-11-17
AFG,2,AF0112,Farza,AF01,2021-11-17
AFG,2,AF0113,Estalef,AF01,2021-11-17
AFG,2,AF0114,Qara Bagh,AF01,2021-11-17
AFG,2,AF0115,Surobi,AF01,2021-11-17
AFG,2,AF0201,Mahmood-e-Raqi,AF02,2021-11-17
AFG,2,AF0202,Hisa-e-Duwum-e-Kohistan,AF02,2021-11-17
AFG,2,AF0203,Koh Band,AF02,2021-11-17
AFG,2,AF0204,Hisa-e-Awal-e-Kohistan,AF02,2021-11-17
AFG,2,AF0205,Nijrab,AF02,2021-11-17
AFG,2,AF0206,Tagab,AF02,2021-11-17
AFG,2,AF0207,Alasay,AF02,2021-11-17
AFG,2,AF0301,Charikar,AF03,2021-11-17
AFG,2,AF0302,Bagram,AF03,2021-11-17
AFG,2,AF0303,Shinwari,AF03,2021-11-17
AFG,2,AF0304,Sayed Khel,AF03,2021-11-17
AFG,2,AF0305,Jabal Saraj,AF03,2021-11-17
AFG,2,AF0306,Salang,AF03,2021-11-17
AFG,2,AF0307,Ghorband,AF03,2021-11-17
AFG,2,AF0308,Koh-e-Safi,AF03,2021-11-17
AFG,2,AF0309,Surkh-e-Parsa,AF03,2021-11-17
AFG,2,AF0310,Shekh Ali,AF03,2021-11-17
AFG,2,AF0401,Maydan Shahr,AF04,2021-11-17
AFG,2,AF0402,Nerkh,AF04,2021-11-17
AFG,2,AF0403,Jalrez,AF04,2021-11-17
AFG,2,AF0404,Chak-e-Wardak,AF04,2021-11-17
AFG,2,AF0405,Saydabad,AF04,2021-11-17
AFG,2,AF0406,Daymirdad,AF04,2021-11-17
AFG,2,AF0407,Hesa-e-Awal-e-Behsud,AF04,2021-11-17
AFG,2,AF0408,Jaghatu,AF04,2021-11-17
AFG,2,AF0409,Markaz-e-Behsud,AF04,2021-11-17
AFG,2,AF0501,Pul-e-Alam,AF05,2021-11-17
AFG,2,AF0502,Baraki Barak,AF05,2021-11-17
AFG,2,AF0503,Charkh,AF05,2021-11-17
AFG,2,AF0504,Khoshi,AF05,2021-11-17
AFG,2,AF0505,Mohammad Agha,AF05,2021-11-17
AFG,2,AF0506,Kharwar,AF05,2021-11-17
AFG,2,AF0507,Azra,AF05,2021-11-17
AFG,2,AF0601,Jalalabad,AF06,2021-11-17
AFG,2,AF0602,Behsud,AF06,2021-11-17
AFG,2,AF0603,Surkh Rod,AF06,2021-11-17
AFG,2,AF0604,Chaparhar,AF06,2021-11-17
AFG,2,AF0605,Kama,AF06,2021-11-17
AFG,2,AF0606,Kuz Kunar,AF06,2021-11-17
AFG,2,AF0607,Rodat,AF06,2021-11-17
AFG,2,AF0608,Khogyani,AF06,2021-11-17
AFG,2,AF0609,Bati Kot,AF06,2021-11-17
AFG,2,AF0610,Deh Bala,AF06,2021-11-17
AFG,2,AF0611,Pachir Wa Agam,AF06,2021-11-17
AFG,2,AF0612,Dara-e-Nur,AF06,2021-11-17
AFG,2,AF0613,Kot,AF06,2021-11-17
AFG,2,AF0614,Goshta,AF06,2021-11-17
AFG,2,AF0615,Achin,AF06,2021-11-17
AFG,2,AF0616,Shinwar,AF06,2021-11-17
AFG,2,AF0617,Muhmand Dara,AF06,2021-11-17
AFG,2,AF0618,Lalpur,AF06,2021-11-17
AFG,2,AF0619,Sherzad,AF06,2021-11-17
AFG,2,AF0620,Nazyan,AF06,2021-11-17
AFG,2,AF0621,Hesarak,AF06,2021-11-17
AFG,2,AF0622,Dur Baba,AF06,2021-11-17
AFG,2,AF0701,Mehtarlam,AF07,2021-11-17
AFG,2,AF0702,Qarghayi,AF07,2021-11-17
AFG,2,AF0703,Alishang,AF07,2021-11-17
AFG,2,AF0704,Alingar,AF07,2021-11-17
AFG,2,AF0705,Dawlatshah,AF07,2021-11-17
AFG,2,AF0801,Bazarak,AF08,2021-11-17
AFG,2,AF0802,Rukha,AF08,2021-11-17
AFG,2,AF0803,Dara,AF08,2021-11-17
AFG,2,AF0804,Khenj,AF08,2021-11-17
AFG,2,AF0805,Anawa,AF08,2021-11-17
AFG,2,AF0806,Shutul,AF08,2021-11-17
AFG,2,AF0807,Paryan,AF08,2021-11-17
AFG,2,AF0901,Pul-e-Khumri,AF09,2021-11-17
AFG,2,AF0902,Dahana-e-Ghori,AF09,2021-11-17
AFG,2,AF0903,Doshi,AF09,2021-11-17
AFG,2,AF0904,Nahrin,AF09,2021-11-17
AFG,2,AF0905,Baghlan-e-Jadid,AF09,2021-11-17
AFG,2,AF0906,Khinjan,AF09,2021-11-17
AFG,2,AF0907,Andarab,AF09,2021-11-17
AFG,2,AF0908,Deh Salah,AF09,2021-11-17
AFG,2,AF0909,Khwaja Hejran,AF09,2021-11-17
AFG,2,AF0910,Burka,AF09,2021-11-17
AFG,2,AF0911,Tala Wa Barfak,AF09,2021-11-17
AFG,2,AF0912,Pul-e-Hisar,AF09,2021-11-17
AFG,2,AF0913,Khost Wa Fereng,AF09,2021-11-17
AFG,2,AF0914,Guzargah-e-Nur,AF09,2021-11-17
AFG,2,AF0915,Fereng Wa Gharu,AF09,2021-11-17
AFG,2,AF1001,Bamyan,AF10,2021-11-17
AFG,2,AF1002,Shibar,AF10,2021-11-17
AFG,2,AF1003,Sayghan,AF10,2021-11-17
AFG,2,AF1004,Kahmard,AF10,2021-11-17
AFG,2,AF1005,Yakawlang,AF10,2021-11-17
AFG,2,AF1006,Panjab,AF10,2021-11-17
AFG,2,AF1007,Waras,AF10,2021-11-17
AFG,2,AF1101,Ghazni,AF11,2021-11-17
AFG,2,AF1102,Wal-e-Muhammad-e-Shahid,AF11,2021-11-17
AFG,2,AF1103,Khwaja Umari,AF11,2021-11-17
AFG,2,AF1104,Waghaz,AF11,2021-11-17
AFG,2,AF1105,Deh Yak,AF11,2021-11-17
AFG,2,AF1106,Jaghatu,AF11,2021-11-17
AFG,2,AF1107,Andar,AF11,2021-11-17
AFG,2,AF1108,Zanakhan,AF11,2021-11-17
AFG,2,AF1109,Rashidan,AF11,2021-11-17
AFG,2,AF1110,Nawur,AF11,2021-11-17
AFG,2,AF1111,Qara Bagh,AF11,2021-11-17
AFG,2,AF1112,Giro,AF11,2021-11-17
AFG,2,AF1113,Ab Band,AF11,2021-11-17
AFG,2,AF1114,Jaghuri,AF11,2021-11-17
AFG,2,AF1115,Muqur,AF11,2021-11-17
AFG,2,AF1116,Malistan,AF11,2021-11-17
AFG,2,AF1117,Gelan,AF11,2021-11-17
AFG,2,AF1118,Ajristan,AF11,2021-11-17
AFG,2,AF1119,Nawa,AF11,2021-11-17
AFG,2,AF1201,Sharan,AF12,2021-11-17
AFG,2,AF1202,Mata Khan,AF12,2021-11-17
AFG,2,AF1203,Yosuf Khel,AF12,2021-11-17
AFG,2,AF1204,Yahya Khel,AF12,2021-11-17
AFG,2,AF1205,Sar Rawzah,AF12,2021-11-17
AFG,2,AF1206,Omna,AF12,2021-11-17
AFG,2,AF1207,Zarghun Shahr,AF12,2021-11-17
AFG,2,AF1208,Gomal,AF12,2021-11-17
AFG,2,AF1209,Jani Khel,AF12,2021-11-17
AFG,2,AF1210,Surobi,AF12,2021-11-17
AFG,2,AF1211,Urgun,AF12,2021-11-17
AFG,2,AF1212,Ziruk,AF12,2021-11-17
AFG,2,AF1213,Nika,AF12,2021-11-17
AFG,2,AF1214,Barmal,AF12,2021-11-17
AFG,2,AF1215,Giyan,AF12,2021-11-17
AFG,2,AF1216,Dila,AF12,2021-11-17
AFG,2,AF1217,Wazakhah,AF12,2021-11-17
AFG,2,AF1218,Wormamay,AF12,2021-11-17
AFG,2,AF1219,Turwo,AF12,2021-11-17
AFG,2,AF1301,Gardez,AF13,2021-11-17
AFG,2,AF1302,Ahmadaba,AF13,2021-11-17
AFG,2,AF1303,Zurmat,AF13,2021-11-17
AFG,2,AF1304,Shawak,AF13,2021-11-17
AFG,2,AF1305,Zadran,AF13,2021-11-17
AFG,2,AF1306,Sayed Karam,AF13,2021-11-17
AFG,2,AF1307,Jaji,AF13,2021-11-17
AFG,2,AF1308,Lija Ahmad Khel,AF13,2021-11-17
AFG,2,AF1309,Jani Khel,AF13,2021-11-17
AFG,2,AF1310,Chamkani,AF13,2021-11-17
AFG,2,AF1311,Dand Wa Patan,AF13,2021-11-17
AFG,2,AF1401,Matun,AF14,2021-11-17
AFG,2,AF1402,Mandozayi,AF14,2021-11-17
AFG,2,AF1403,Gurbuz,AF14,2021-11-17
AFG,2,AF1404,Tani,AF14,2021-11-17
AFG,2,AF1405,Musa Khel,AF14,2021-11-17
AFG,2,AF1406,Nadir Shah Kot,AF14,2021-11-17
AFG,2,AF1407,Sabari,AF14,2021-11-17
AFG,2,AF1408,Terezayi,AF14,2021-11-17
AFG,2,AF1409,Bak,AF14,2021-11-17
AFG,2,AF1410,Qalandar,AF14,2021-11-17
AFG,2,AF1411,Spera,AF14,2021-11-17
AFG,2,AF1412,Shamal,AF14,2021-11-17
AFG,2,AF1413,Jaji Maydan,AF14,2021-11-17
AFG,2,AF1501,Asad Abad,AF15,2021-11-17
AFG,2,AF1502,Marawara,AF15,2021-11-17
AFG,2,AF1503,Watapur,AF15,2021-11-17
AFG,2,AF1504,Narang,AF15,2021-11-17
AFG,2,AF1505,Sar Kani,AF15,2021-11-17
AFG,2,AF1506,Shigal,AF15,2021-11-17
AFG,2,AF1507,Dara-e-Pech,AF15,2021-11-17
AFG,2,AF1508,Bar Kunar,AF15,2021-11-17
AFG,2,AF1509,Chawkay,AF15,2021-11-17
AFG,2,AF1510,Khas Kunar,AF15,2021-11-17
AFG,2,AF1511,Ghazi Abad,AF15,2021-11-17
AFG,2,AF1512,Dangam,AF15,2021-11-17
AFG,2,AF1513,Chapa Dara,AF15,2021-11-17
AFG,2,AF1514,Nurgal,AF15,2021-11-17
AFG,2,AF1515,Nari,AF15,2021-11-17
AFG,2,AF1601,Parun,AF16,2021-11-17
AFG,2,AF1602,Waygal,AF16,2021-11-17
AFG,2,AF1603,Wama,AF16,2021-11-17
AFG,2,AF1604,Nurgaram,AF16,2021-11-17
AFG,2,AF1605,Duab,AF16,2021-11-17
AFG,2,AF1606,Kamdesh,AF16,2021-11-17
AFG,2,AF1607,Mandol,AF16,2021-11-17
AFG,2,AF1608,Barg-e-Matal,AF16,2021-11-17
AFG,2,AF1701,Fayzabad,AF17,2021-11-17
AFG,2,AF1702,Argo,AF17,2021-11-17
AFG,2,AF1703,Arghanj Khwah,AF17,2021-11-17
AFG,2,AF1704,Yaftal-e-Sufla,AF17,2021-11-17
AFG,2,AF1705,Khash,AF17,2021-11-17
AFG,2,AF1706,Baharak,AF17,2021-11-17
AFG,2,AF1707,Darayem,AF17,2021-11-17
AFG,2,AF1708,Kohistan,AF17,2021-11-17
AFG,2,AF1709,Yawan,AF17,2021-11-17
AFG,2,AF1710,Jorm,AF17,2021-11-17
AFG,2,AF1711,Teshkan,AF17,2021-11-17
AFG,2,AF1712,Shuhada,AF17,2021-11-17
AFG,2,AF1713,Shahr-e-Buzorg,AF17,2021-11-17
AFG,2,AF1714,Raghestan,AF17,2021-11-17
AFG,2,AF1715,Keshem,AF17,2021-11-17
AFG,2,AF1716,Warduj,AF17,2021-11-17
AFG,2,AF1717,Tagab,AF17,2021-11-17
AFG,2,AF1718,Yamgan,AF17,2021-11-17
AFG,2,AF1719,Shighnan,AF17,2021-11-17
AFG,2,AF1720,Khwahan,AF17,2021-11-17
AFG,2,AF1721,Kofab,AF17,2021-11-17
AFG,2,AF1722,Darwaz-e-Payin,AF17,2021-11-17
AFG,2,AF1723,Eshkashem,AF17,2021-11-17
AFG,2,AF1724,Shaki,AF17,2021-11-17
AFG,2,AF1725,Zebak,AF17,2021-11-17
AFG,2,AF1726,Koran Wa Monjan,AF17,2021-11-17
AFG,2,AF1727,Darwaz-e-Balla,AF17,2021-11-17
AFG,2,AF1728,Wakhan,AF17,2021-11-17
AFG,2,AF1801,Taloqan,AF18,2021-11-17
AFG,2,AF1802,Hazar Sumuch,AF18,2021-11-17
AFG,2,AF1803,Baharak,AF18,2021-11-17
AFG,2,AF1804,Bangi,AF18,2021-11-17
AFG,2,AF1805,Chal,AF18,2021-11-17
AFG,2,AF1806,Namak Ab,AF18,2021-11-17
AFG,2,AF1807,Kalafgan,AF18,2021-11-17
AFG,2,AF1808,Farkhar,AF18,2021-11-17
AFG,2,AF1809,Khwaja Ghar,AF18,2021-11-17
AFG,2,AF1810,Rostaq,AF18,2021-11-17
AFG,2,AF1811,Eshkmesh,AF18,2021-11-17
AFG,2,AF1812,Dasht-e-Qala,AF18,2021-11-17
AFG,2,AF1813,Warsaj,AF18,2021-11-17
AFG,2,AF1814,Khwaja Bahawuddin,AF18,2021-11-17
AFG,2,AF1815,Darqad,AF18,2021-11-17
AFG,2,AF1816,Chahab,AF18,2021-11-17
AFG,2,AF1817,Yangi Qala,AF18,2021-11-17
AFG,2,AF1901,Kunduz,AF19,2021-11-17
AFG,2,AF1902,Chahar Darah,AF19,2021-11-17
AFG,2,AF1903,Ali Abad,AF19,2021-11-17
AFG,2,AF1904,Khan Abad,AF19,2021-11-17
AFG,2,AF1905,Imam Sahib,AF19,2021-11-17
AFG,2,AF1906,Dasht-e-Archi,AF19,2021-11-17
AFG,2,AF1907,Qala-e-Zal,AF19,2021-11-17
AFG,2,AF2001,Aybak,AF20,2021-11-17
AFG,2,AF2002,Hazrat-e-Sultan,AF20,2021-11-17
AFG,2,AF2003,Khuram Wa Sarbagh,AF20,2021-11-17
AFG,2,AF2004,Feroz Nakhchir,AF20,2021-11-17
AFG,2,AF2005,Ruy-e-Duab,AF20,2021-11-17
AFG,2,AF2006,Dara-e-Suf-e-Payin,AF20,2021-11-17
AFG,2,AF2007,Dara-e-Suf-e-Bala,AF20,2021-11-17
AFG,2,AF2101,Mazar-e-Sharif,AF21,2021-11-17
AFG,2,AF2102,Nahr-e-Shahi,AF21,2021-11-17
AFG,2,AF2103,Dehdadi,AF21,2021-11-17
AFG,2,AF2104,Charkent,AF21,2021-11-17
AFG,2,AF2105,Marmul,AF21,2021-11-17
AFG,2,AF2106,Balkh,AF21,2021-11-17
AFG,2,AF2107,Sholgareh,AF21,2021-11-17
AFG,2,AF2108,Chemtal,AF21,2021-11-17
AFG,2,AF2109,Dawlat Abad,AF21,2021-11-17
AFG,2,AF2110,Khulm,AF21,2021-11-17
AFG,2,AF2111,Char Bolak,AF21,2021-11-17
AFG,2,AF2112,Shortepa,AF21,2021-11-17
AFG,2,AF2113,Kaldar,AF21,2021-11-17
AFG,2,AF2114,Keshendeh,AF21,2021-11-17
AFG,2,AF2115,Zari,AF21,2021-11-17
AFG,2,AF2116,Sharak-e-Hayratan,AF21,2021-11-17
AFG,2,AF2201,Sar-e-Pul,AF22,2021-11-17
AFG,2,AF2202,Sayad,AF22,2021-11-17
AFG,2,AF2203,Kohestanat,AF22,2021-11-17
AFG,2,AF2204,Sozmaqala,AF22,2021-11-17
AFG,2,AF2205,Sancharak,AF22,2021-11-17
AFG,2,AF2206,Gosfandi,AF22,2021-11-17
AFG,2,AF2207,Balkhab,AF22,2021-11-17
AFG,2,AF2301,Feroz Koh,AF23,2021-11-17
AFG,2,AF2302,DoLayna,AF23,2021-11-17
AFG,2,AF2303,Dawlatyar,AF23,2021-11-17
AFG,2,AF2304,Charsadra,AF23,2021-11-17
AFG,2,AF2305,Pasaband,AF23,2021-11-17
AFG,2,AF2306,Shahrak,AF23,2021-11-17
AFG,2,AF2307,Lal Wa Sarjangal,AF23,2021-11-17
AFG,2,AF2308,Taywarah,AF23,2021-11-17
AFG,2,AF2309,Tolak,AF23,2021-11-17
AFG,2,AF2310,Saghar,AF23,2021-11-17
AFG,2,AF2401,Nili,AF24,2021-11-17
AFG,2,AF2402,Shahrestan,AF24,2021-11-17
AFG,2,AF2403,Ashtarlay,AF24,2021-11-17
AFG,2,AF2404,Khadir,AF24,2021-11-17
AFG,2,AF2405,Kiti,AF24,2021-11-17
AFG,2,AF2406,Miramor,AF24,2021-11-17
AFG,2,AF2407,Sang-e-Takht,AF24,2021-11-17
AFG,2,AF2408,Kajran,AF24,2021-11-17
AFG,2,AF2409,Patoo,AF24,2021-11-17
AFG,2,AF2501,Tirinkot,AF25,2021-11-17
AFG,2,AF2502,Dehrawud,AF25,2021-11-17
AFG,2,AF2503,Chora,AF25,2021-11-17
AFG,2,AF2504,Shahid-e-Hassas,AF25,2021-11-17
AFG,2,AF2505,Khas Uruzgan,AF25,2021-11-17
AFG,2,AF2506,Chinarto,AF25,2021-11-17
AFG,2,AF2507,Gizab,AF25,2021-11-17
AFG,2,AF2601,Qalat,AF26,2021-11-17
AFG,2,AF2602,Tarnak Wa Jaldak,AF26,2021-11-17
AFG,2,AF2603,Shinkay,AF26,2021-11-17
AFG,2,AF2604,Mizan,AF26,2021-11-17
AFG,2,AF2605,Arghandab,AF26,2021-11-17
AFG,2,AF2606,Shah Joi,AF26,2021-11-17
AFG,2,AF2607,Daychopan,AF26,2021-11-17
AFG,2,AF2608,Atghar,AF26,2021-11-17
AFG,2,AF2609,Nawbahar,AF26,2021-11-17
AFG,2,AF2610,Shamul Zayi,AF26,2021-11-17
AFG,2,AF2611,Kakar,AF26,2021-11-17
AFG,2,AF2701,Kandahar,AF27,2021-11-17
AFG,2,AF2702,Arghandab,AF27,2021-11-17
AFG,2,AF2703,Daman,AF27,2021-11-17
AFG,2,AF2704,Panjwayi,AF27,2021-11-17
AFG,2,AF2705,Zheray,AF27,2021-11-17
AFG,2,AF2706,Shah Wali Kot,AF27,2021-11-17
AFG,2,AF2707,Khakrez,AF27,2021-11-17
AFG,2,AF2708,Arghestan,AF27,2021-11-17
AFG,2,AF2709,Ghorak,AF27,2021-11-17
AFG,2,AF2710,Maywand,AF27,2021-11-17
AFG,2,AF2711,Spin Boldak,AF27,2021-11-17
AFG,2,AF2712,Nesh,AF27,2021-11-17
AFG,2,AF2713,Miyanshin,AF27,2021-11-17
AFG,2,AF2714,Shorabak,AF27,2021-11-17
AFG,2,AF2715,Maruf,AF27,2021-11-17
AFG,2,AF2716,Reg,AF27,2021-11-17
AFG,2,AF2801,Shiberghan,AF28,2021-11-17
AFG,2,AF2802,Khwaja Dukoh,AF28,2021-11-17
AFG,2,AF2803,Khanaqa,AF28,2021-11-17
AFG,2,AF2804,Mingajik,AF28,2021-11-17
AFG,2,AF2805,Qush Tepa,AF28,2021-11-17
AFG,2,AF2806,Khamyab,AF28,2021-11-17
AFG,2,AF2807,Aqcha,AF28,2021-11-17
AFG,2,AF2808,Fayzabad,AF28,2021-11-17
AFG,2,AF2809,Mardyan,AF28,2021-11-17
AFG,2,AF2810,Qarqin,AF28,2021-11-17
AFG,2,AF2811,Darzab,AF28,2021-11-17
AFG,2,AF2901,Maymana,AF29,2021-11-17
AFG,2,AF2902,Pashtun Kot,AF29,2021-11-17
AFG,2,AF2903,Khwaja Sabz Posh,AF29,2021-11-17
AFG,2,AF2904,Almar,AF29,2021-11-17
AFG,2,AF2905,Bilcheragh,AF29,2021-11-17
AFG,2,AF2906,Shirin Tagab,AF29,2021-11-17
AFG,2,AF2907,Qaysar,AF29,2021-11-17
AFG,2,AF2908,Garzewan,AF29,2021-11-17
AFG,2,AF2909,Dawlat Abad,AF29,2021-11-17
AFG,2,AF2910,Kohistan,AF29,2021-11-17
AFG,2,AF2911,Qaram Qul,AF29,2021-11-17
AFG,2,AF2912,Qurghan,AF29,2021-11-17
AFG,2,AF2913,Andkhoy,AF29,2021-11-17
AFG,2,AF2914,Khan-e-Char Bagh,AF29,2021-11-17
AFG,2,AF3001,Lashkargah,AF30,2021-11-17
AFG,2,AF3002,Nad-e-Ali,AF30,2021-11-17
AFG,2,AF3003,Nawa-e-Barakzaiy,AF30,2021-11-17
AFG,2,AF3004,Nahr-e-Saraj,AF30,2021-11-17
AFG,2,AF3005,Washer,AF30,2021-11-17
AFG,2,AF3006,Garmser,AF30,2021-11-17
AFG,2,AF3007,Nawzad,AF30,2021-11-17
AFG,2,AF3008,Sangin,AF30,2021-11-17
AFG,2,AF3009,Musa Qala,AF30,2021-11-17
AFG,2,AF3010,Kajaki,AF30,2021-11-17
AFG,2,AF3011,Reg-i-Khan Nishin,AF30,2021-11-17
AFG,2,AF3012,Baghran,AF30,2021-11-17
AFG,2,AF3013,Deh-e-Shu,AF30,2021-11-17
AFG,2,AF3101,Qala-e-Naw,AF31,2021-11-17
AFG,2,AF3102,Ab Kamari,AF31,2021-11-17
AFG,2,AF3103,Muqur,AF31,2021-11-17
AFG,2,AF3104,Qadis,AF31,2021-11-17
AFG,2,AF3105,Bala Murghab,AF31,2021-11-17
AFG,2,AF3106,Jawand,AF31,2021-11-17
AFG,2,AF3107,Ghormach,AF31,2021-11-17
AFG,2,AF3201,Hirat,AF32,2021-11-17
AFG,2,AF3202,Injil,AF32,2021-11-17
AFG,2,AF3203,Guzara,AF32,2021-11-17
AFG,2,AF3204,Karukh,AF32,2021-11-17
AFG,2,AF3205,Zindajan,AF32,2021-11-17
AFG,2,AF3206,Pashtun Zarghun,AF32,2021-11-17
AFG,2,AF3207,Kushk,AF32,2021-11-17
AFG,2,AF3208,Gulran,AF32,2021-11-17
AFG,2,AF3209,Adraskan,AF32,2021-11-17
AFG,2,AF3210,Kushk-e-Kuhna,AF32,2021-11-17
AFG,2,AF3211,Ghoryan,AF32,2021-11-17
AFG,2,AF3212,Obe,AF32,2021-11-17
AFG,2,AF3213,Kohsan,AF32,2021-11-17
AFG,2,AF3214,Shindand,AF32,2021-11-17
AFG,2,AF3215,Farsi,AF32,2021-11-17
AFG,2,AF3216,Chisht-e-Sharif,AF32,2021-11-17
AFG,2,AF3301,Farah,AF33,2021-11-17
AFG,2,AF3302,Pushtrod,AF33,2021-11-17
AFG,2,AF3303,Khak-e-Safed,AF33,2021-11-17
AFG,2,AF3304,Qala-e-Kah,AF33,2021-11-17
AFG,2,AF3305,Shibkoh,AF33,2021-11-17
AFG,2,AF3306,Bala Buluk,AF33,2021-11-17
AFG,2,AF3307,Anar Dara,AF33,2021-11-17
AFG,2,AF3308,Bakwa,AF33,2021-11-17
AFG,2,AF3309,Lash-e-Juwayn,AF33,2021-11-17
AFG,2,AF3310,Gulistan,AF33,2021-11-17
AFG,2,AF3311,Pur Chaman,AF33,2021-11-17
AFG,2,AF3401,Zaranj,AF34,2021-11-17
AFG,2,AF3402,Kang,AF34,2021-11-17
AFG,2,AF3403,Chakhansur,AF34,2021-11-17
AFG,2,AF3404,Char Burjak,AF34,2021-11-17
AFG,2,AF3405,Khashrod,AF34,2021-11-17
AGO,1,AO01,Bengo,AGO,2018-09-04
AGO,1,AO02,Benguela,AGO,2018-09-04
AGO,1,AO03,Bie,AGO,2018-09-04
AGO,1,AO04,Cabinda,AGO,2018-09-04
AGO,1,AO05,Cuando Cubango,AGO,2018-09-04
AGO,1,AO06,Cuanza Norte,AGO,2018-09-04
AGO,1,AO07,Cuanza Sul,AGO,2018-09-04
AGO,1,AO08,Cunene,AGO,2018-09-04
AGO,1,AO09,Huila,AGO,2018-09-04
AGO,1,AO10,Huambo,AGO,2018-09-04
